prodcode,description,drugsubstance
30849,"Valdic 75 Retard tablets (Fannin UK Ltd)","Diclofenac sodium"
33589,"Ibuprofen 400mg tablets (Thornton & Ross Ltd)",Ibuprofen
33589,"Ibuprofen 400mg tablets (Thornton & Ross Ltd)",Ibuprofen
33589,"Ibuprofen 400mg tablets (Thornton & Ross Ltd)",Ibuprofen
17126,"Fenactol SR 75mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17126,"Fenactol SR 75mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17126,"Fenactol SR 75mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
42604,"Mobiflex 20mg tablets (Meda Pharmaceuticals Ltd)",Tenoxicam
42604,"Mobiflex 20mg tablets (Meda Pharmaceuticals Ltd)",Tenoxicam
42604,"Mobiflex 20mg tablets (Meda Pharmaceuticals Ltd)",Tenoxicam
16286,"Lofensaid Retard 75 tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
16286,"Lofensaid Retard 75 tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
55486,"Naproxen 500mg tablets (Teva UK Ltd)",Naproxen
48810,"Dysman 250 capsules (Ashbourne Pharmaceuticals Ltd)","Mefenamic acid"
48810,"Dysman 250 capsules (Ashbourne Pharmaceuticals Ltd)","Mefenamic acid"
16222,"Diclozip 50mg gastro-resistant tablets (Ashbourne Pharmaceuticals Ltd)","Diclofenac sodium"
16222,"Diclozip 50mg gastro-resistant tablets (Ashbourne Pharmaceuticals Ltd)","Diclofenac sodium"
16222,"Diclozip 50mg gastro-resistant tablets (Ashbourne Pharmaceuticals Ltd)","Diclofenac sodium"
9222,"Dicloflex 75mg SR tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
9222,"Dicloflex 75mg SR tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
9222,"Dicloflex 75mg SR tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
126,"Ponstan 250mg capsules (Chemidex Pharma Ltd)","Mefenamic acid"
126,"Ponstan 250mg capsules (Chemidex Pharma Ltd)","Mefenamic acid"
126,"Ponstan 250mg capsules (Chemidex Pharma Ltd)","Mefenamic acid"
4216,"Brufen 600mg tablets (Mylan)",Ibuprofen
4216,"Brufen 600mg tablets (Mylan)",Ibuprofen
4216,"Brufen 600mg tablets (Mylan)",Ibuprofen
341,"Feldene 10mg capsules (Pfizer Ltd)",Piroxicam
341,"Feldene 10mg capsules (Pfizer Ltd)",Piroxicam
341,"Feldene 10mg capsules (Pfizer Ltd)",Piroxicam
25342,"Arthrosin EC 500 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
25342,"Arthrosin EC 500 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
31962,"Ketpron XL 200mg capsules (Mercury Pharma Group Ltd)",Ketoprofen
31962,"Ketpron XL 200mg capsules (Mercury Pharma Group Ltd)",Ketoprofen
32365,"Relcofen 400mg tablets (Actavis UK Ltd)",Ibuprofen
32365,"Relcofen 400mg tablets (Actavis UK Ltd)",Ibuprofen
32365,"Relcofen 400mg tablets (Actavis UK Ltd)",Ibuprofen
7688,"Rheumox 600mg tablets (Mercury Pharma Group Ltd)",Azapropazone
28553,"Diclofenac sodium 50mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
28553,"Diclofenac sodium 50mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
28553,"Diclofenac sodium 50mg gastro-resistant tablets (Teva UK Ltd)","Diclofenac sodium"
18921,"Fenactol 25mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
18921,"Fenactol 25mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
18921,"Fenactol 25mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
21387,"Diclofenac sodium 50mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
21387,"Diclofenac sodium 50mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
21387,"Diclofenac sodium 50mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
120,"Indocid 25mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
120,"Indocid 25mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
120,"Indocid 25mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
1739,"Brufen 400mg tablets (Mylan)",Ibuprofen
1739,"Brufen 400mg tablets (Mylan)",Ibuprofen
1739,"Brufen 400mg tablets (Mylan)",Ibuprofen
62636,"Diclofenac sodium 25mg gastro-resistant tablets (Sterwin Medicines)","Diclofenac sodium"
34438,"Mefenamic acid 250mg capsules (A A H Pharmaceuticals Ltd)","Mefenamic acid"
34438,"Mefenamic acid 250mg capsules (A A H Pharmaceuticals Ltd)","Mefenamic acid"
34438,"Mefenamic acid 250mg capsules (A A H Pharmaceuticals Ltd)","Mefenamic acid"
17131,"Lederfen 300mg tablets (Mercury Pharma Group Ltd)",Fenbufen
17131,"Lederfen 300mg tablets (Mercury Pharma Group Ltd)",Fenbufen
34550,"Ibuprofen 400mg tablets film coated (Actavis UK Ltd)",Ibuprofen
34550,"Ibuprofen 400mg tablets film coated (Actavis UK Ltd)",Ibuprofen
34550,"Ibuprofen 400mg tablets film coated (Actavis UK Ltd)",Ibuprofen
31777,"Piroxicam 20mg dispersible tablets (Mylan)",Piroxicam
31777,"Piroxicam 20mg dispersible tablets (Mylan)",Piroxicam
31777,"Piroxicam 20mg dispersible tablets (Mylan)",Piroxicam
34961,"Ibuprofen 600mg tablets (Sandoz Ltd)",Ibuprofen
34961,"Ibuprofen 600mg tablets (Sandoz Ltd)",Ibuprofen
34961,"Ibuprofen 600mg tablets (Sandoz Ltd)",Ibuprofen
42821,"Nabumetone 500mg tablets (A A H Pharmaceuticals Ltd)",Nabumetone
42821,"Nabumetone 500mg tablets (A A H Pharmaceuticals Ltd)",Nabumetone
42821,"Nabumetone 500mg tablets (A A H Pharmaceuticals Ltd)",Nabumetone
14084,"Diclovol 75mg SR tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
14084,"Diclovol 75mg SR tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
15286,"Ketocid 200 modified-release capsules (Chiesi Ltd)",Ketoprofen
15286,"Ketocid 200 modified-release capsules (Chiesi Ltd)",Ketoprofen
15286,"Ketocid 200 modified-release capsules (Chiesi Ltd)",Ketoprofen
52931,"Naproxen 500mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)",Naproxen
18448,"Voltarol 12.5mg suppositories (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
27055,"Diclofenac sodium 50mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","Diclofenac sodium"
27055,"Diclofenac sodium 50mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","Diclofenac sodium"
27055,"Diclofenac sodium 50mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","Diclofenac sodium"
10558,"Flexin-75 Continus tablets (Napp Pharmaceuticals Ltd)",Indometacin
14776,"Surgam 300mg tablets (Sanofi)","Tiaprofenic acid"
14776,"Surgam 300mg tablets (Sanofi)","Tiaprofenic acid"
14776,"Surgam 300mg tablets (Sanofi)","Tiaprofenic acid"
41624,"Piroxicam 10mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
41624,"Piroxicam 10mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
41624,"Piroxicam 10mg capsules (IVAX Pharmaceuticals UK Ltd)",Piroxicam
387,"Surgam 200mg tablets (Sanofi)","Tiaprofenic acid"
387,"Surgam 200mg tablets (Sanofi)","Tiaprofenic acid"
21610,"Rhumalgan CR 100 tablets (Sandoz Ltd)","Diclofenac sodium"
21610,"Rhumalgan CR 100 tablets (Sandoz Ltd)","Diclofenac sodium"
21610,"Rhumalgan CR 100 tablets (Sandoz Ltd)","Diclofenac sodium"
34354,"Ibuprofen 200mg tablets (Vantage)",Ibuprofen
34354,"Ibuprofen 200mg tablets (Vantage)",Ibuprofen
34354,"Ibuprofen 200mg tablets (Vantage)",Ibuprofen
34359,"Ibuprofen 400mg tablets (Vantage)",Ibuprofen
34359,"Ibuprofen 400mg tablets (Vantage)",Ibuprofen
34359,"Ibuprofen 400mg tablets (Vantage)",Ibuprofen
16221,"Diclozip 25mg gastro-resistant tablets (Ashbourne Pharmaceuticals Ltd)","Diclofenac sodium"
16221,"Diclozip 25mg gastro-resistant tablets (Ashbourne Pharmaceuticals Ltd)","Diclofenac sodium"
21444,"Volraman 25mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
21444,"Volraman 25mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
21444,"Volraman 25mg gastro-resistant tablets (LPC Medical (UK) Ltd)","Diclofenac sodium"
42108,"Ibuprofen 200mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
42108,"Ibuprofen 200mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
42108,"Ibuprofen 200mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
16176,"Lederfen 450mg tablets (Mercury Pharma Group Ltd)",Fenbufen
16176,"Lederfen 450mg tablets (Mercury Pharma Group Ltd)",Fenbufen
16176,"Lederfen 450mg tablets (Mercury Pharma Group Ltd)",Fenbufen
40185,"Oruvail 200 modified-release capsules (Sanofi)",Ketoprofen
40185,"Oruvail 200 modified-release capsules (Sanofi)",Ketoprofen
40185,"Oruvail 200 modified-release capsules (Sanofi)",Ketoprofen
34850,"Ibuprofen 600mg tablets (Teva UK Ltd)",Ibuprofen
34850,"Ibuprofen 600mg tablets (Teva UK Ltd)",Ibuprofen
34850,"Ibuprofen 600mg tablets (Teva UK Ltd)",Ibuprofen
38948,"Diclomax Retard 100mg capsules (Galen Ltd)","Diclofenac sodium"
38948,"Diclomax Retard 100mg capsules (Galen Ltd)","Diclofenac sodium"
38948,"Diclomax Retard 100mg capsules (Galen Ltd)","Diclofenac sodium"
64297,"Nabumetone 500mg tablets (Mylan)",Nabumetone
17029,"Rhumalgan CR 75 tablets (Sandoz Ltd)","Diclofenac sodium"
17029,"Rhumalgan CR 75 tablets (Sandoz Ltd)","Diclofenac sodium"
17029,"Rhumalgan CR 75 tablets (Sandoz Ltd)","Diclofenac sodium"
17128,"Fenactol 50mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17128,"Fenactol 50mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17128,"Fenactol 50mg gastro-resistant tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
54783,"Naproxen 250mg tablets (Teva UK Ltd)",Naproxen
34447,"Ibuprofen 200mg tablets (Thornton & Ross Ltd)",Ibuprofen
34447,"Ibuprofen 200mg tablets (Thornton & Ross Ltd)",Ibuprofen
34447,"Ibuprofen 200mg tablets (Thornton & Ross Ltd)",Ibuprofen
34738,"Naproxen 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
34738,"Naproxen 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
34738,"Naproxen 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
39019,"Brufen Retard 800mg tablets (Mylan)",Ibuprofen
39019,"Brufen Retard 800mg tablets (Mylan)",Ibuprofen
39019,"Brufen Retard 800mg tablets (Mylan)",Ibuprofen
34610,"Naproxen 500mg gastro-resistant tablets (Mylan)",Naproxen
34610,"Naproxen 500mg gastro-resistant tablets (Mylan)",Naproxen
34610,"Naproxen 500mg gastro-resistant tablets (Mylan)",Naproxen
25358,"Defanac 50mg gastro-resistant tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
25358,"Defanac 50mg gastro-resistant tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
55454,"Naproxen 500mg tablets (Kent Pharmaceuticals Ltd)",Naproxen
25362,"Defanac 25mg gastro-resistant tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
25362,"Defanac 25mg gastro-resistant tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
60930,"Indometacin 25mg capsules (Alliance Healthcare (Distribution) Ltd)",Indometacin
19036,"Arthrofen 200 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
19036,"Arthrofen 200 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
23204,"Pardelprin MR 75mg capsules (Actavis UK Ltd)",Indometacin
23204,"Pardelprin MR 75mg capsules (Actavis UK Ltd)",Indometacin
23204,"Pardelprin MR 75mg capsules (Actavis UK Ltd)",Indometacin
57297,"Mefenamic acid 500mg tablets (Alliance Healthcare (Distribution) Ltd)","Mefenamic acid"
34769,"Naproxen 500mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
34769,"Naproxen 500mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
34769,"Naproxen 500mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
21955,"Ketozip 200 XL capsules (Ashbourne Pharmaceuticals Ltd)",Ketoprofen
21955,"Ketozip 200 XL capsules (Ashbourne Pharmaceuticals Ltd)",Ketoprofen
21864,"Pirozip 10 capsules (Ashbourne Pharmaceuticals Ltd)",Piroxicam
21864,"Pirozip 10 capsules (Ashbourne Pharmaceuticals Ltd)",Piroxicam
15732,"Diclovol 50mg gastro-resistant tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
15732,"Diclovol 50mg gastro-resistant tablets (Arun Pharmaceuticals Ltd)","Diclofenac sodium"
32105,"Mefenamic acid 500mg tablets (A A H Pharmaceuticals Ltd)","Mefenamic acid"
32105,"Mefenamic acid 500mg tablets (A A H Pharmaceuticals Ltd)","Mefenamic acid"
32105,"Mefenamic acid 500mg tablets (A A H Pharmaceuticals Ltd)","Mefenamic acid"
21815,"Arthrofen 600 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
21815,"Arthrofen 600 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
27783,"Ibuprofen 400mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
27783,"Ibuprofen 400mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
27783,"Ibuprofen 400mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
17818,"Ketovail 100mg modified-release capsules (Teva UK Ltd)",Ketoprofen
17818,"Ketovail 100mg modified-release capsules (Teva UK Ltd)",Ketoprofen
17818,"Ketovail 100mg modified-release capsules (Teva UK Ltd)",Ketoprofen
56213,"Ibuprofen 400mg tablets sugar coated (Kent Pharmaceuticals Ltd)",Ibuprofen
40336,"Orudis 50mg capsules (Sanofi)",Ketoprofen
40336,"Orudis 50mg capsules (Sanofi)",Ketoprofen
40336,"Orudis 50mg capsules (Sanofi)",Ketoprofen
3901,"Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
3901,"Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
3901,"Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd)",Naproxen
29037,"Valdic 100 Retard tablets (Fannin UK Ltd)","Diclofenac sodium"
29037,"Valdic 100 Retard tablets (Fannin UK Ltd)","Diclofenac sodium"
32242,"Ibuprofen 400mg tablets (Sterwin Medicines)",Ibuprofen
32242,"Ibuprofen 400mg tablets (Sterwin Medicines)",Ibuprofen
32242,"Ibuprofen 400mg tablets (Sterwin Medicines)",Ibuprofen
14707,"Defanac Retard 100mg tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
14707,"Defanac Retard 100mg tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
14707,"Defanac Retard 100mg tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
360,"Brufen 100mg/5ml syrup (Mylan)",Ibuprofen
360,"Brufen 100mg/5ml syrup (Mylan)",Ibuprofen
360,"Brufen 100mg/5ml syrup (Mylan)",Ibuprofen
73629,"Naproxen 500mg tablets (Mylan)",Naproxen
74659,"Piroxicam 20mg capsules (Approved Prescription Services Ltd)",Piroxicam
25329,"Lofensaid 25mg gastro-resistant tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
25329,"Lofensaid 25mg gastro-resistant tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
32100,"Ibuprofen 600mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
32100,"Ibuprofen 600mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
32100,"Ibuprofen 600mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
40484,"Orudis 100mg capsules (Sanofi)",Ketoprofen
40484,"Orudis 100mg capsules (Sanofi)",Ketoprofen
43541,"Piroxicam 10mg capsules (Actavis UK Ltd)",Piroxicam
43541,"Piroxicam 10mg capsules (Actavis UK Ltd)",Piroxicam
43541,"Piroxicam 10mg capsules (Actavis UK Ltd)",Piroxicam
2827,"Feldene 10mg dispersible tablets (Pfizer Ltd)",Piroxicam
2827,"Feldene 10mg dispersible tablets (Pfizer Ltd)",Piroxicam
33785,"Galprofen 200mg tablets (Galpharm International Ltd)",Ibuprofen
51943,"Orbifen For Children 100mg/5ml oral suspension (Orbis Consumer Products Ltd)",Ibuprofen
39317,"Naproxen 500mg tablets (Wockhardt UK Ltd)",Naproxen
39317,"Naproxen 500mg tablets (Wockhardt UK Ltd)",Naproxen
39317,"Naproxen 500mg tablets (Wockhardt UK Ltd)",Naproxen
32227,"Larafen CR 200mg capsules (Ennogen Pharma Ltd)",Ketoprofen
32227,"Larafen CR 200mg capsules (Ennogen Pharma Ltd)",Ketoprofen
32227,"Larafen CR 200mg capsules (Ennogen Pharma Ltd)",Ketoprofen
16272,"Lofensaid Retard 100 tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
16272,"Lofensaid Retard 100 tablets (Opus Pharmaceuticals Ltd)","Diclofenac sodium"
67594,"Ibuprofen 400mg tablets (Kent Pharmaceuticals Ltd)",Ibuprofen
2257,"Surgam SA 300mg capsules (Sanofi)","Tiaprofenic acid"
2257,"Surgam SA 300mg capsules (Sanofi)","Tiaprofenic acid"
2257,"Surgam SA 300mg capsules (Sanofi)","Tiaprofenic acid"
57112,"Ibuprofen 400mg tablets (Alliance Healthcare (Distribution) Ltd)",Ibuprofen
67608,"Piroxicam 20mg dispersible tablets (A A H Pharmaceuticals Ltd)",Piroxicam
61695,"Naproxen 500mg tablets (Alliance Healthcare (Distribution) Ltd)",Naproxen
28255,"Naproxen 250mg tablets (Wockhardt UK Ltd)",Naproxen
28255,"Naproxen 250mg tablets (Wockhardt UK Ltd)",Naproxen
28255,"Naproxen 250mg tablets (Wockhardt UK Ltd)",Naproxen
54137,"Ibuprofen 400mg tablets (Aspar Pharmaceuticals Ltd)",Ibuprofen
34091,"Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
34091,"Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
34091,"Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
31944,"Diclofenac sodium 25mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
31944,"Diclofenac sodium 25mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
31944,"Diclofenac sodium 25mg gastro-resistant tablets (Mylan)","Diclofenac sodium"
70855,"Benorilate 750mg tablets (Sterwin Medicines)",Benorilate
6249,"Froben 100mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
6249,"Froben 100mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
6249,"Froben 100mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
18662,"Indomod 75mg modified-release capsules (Pfizer Ltd)",Indometacin
18662,"Indomod 75mg modified-release capsules (Pfizer Ltd)",Indometacin
53700,"Naproxen 250mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",Naproxen
17201,"Motrin 600mg tablets (Pfizer Ltd)",Ibuprofen
17201,"Motrin 600mg tablets (Pfizer Ltd)",Ibuprofen
24128,"Diclofenac sodium 25mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
24128,"Diclofenac sodium 25mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
24128,"Diclofenac sodium 25mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
612,"Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
612,"Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
612,"Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
1688,"Indocid 50mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
1688,"Indocid 50mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
1688,"Indocid 50mg capsules (Merck Sharp & Dohme Ltd)",Indometacin
296,"Ponstan Forte 500mg tablets (Chemidex Pharma Ltd)","Mefenamic acid"
296,"Ponstan Forte 500mg tablets (Chemidex Pharma Ltd)","Mefenamic acid"
296,"Ponstan Forte 500mg tablets (Chemidex Pharma Ltd)","Mefenamic acid"
2258,"Emflex 60mg capsules (Merck Serono Ltd)",Acemetacin
2258,"Emflex 60mg capsules (Merck Serono Ltd)",Acemetacin
2258,"Emflex 60mg capsules (Merck Serono Ltd)",Acemetacin
850,"Mobic 7.5mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
850,"Mobic 7.5mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
850,"Mobic 7.5mg tablets (Boehringer Ingelheim Ltd)",Meloxicam
13627,"Mobic 15mg suppositories (Boehringer Ingelheim Ltd)",Meloxicam
32509,"Anadin Ibuprofen 200mg tablets (Pfizer Consumer Healthcare Ltd)",Ibuprofen
32509,"Anadin Ibuprofen 200mg tablets (Pfizer Consumer Healthcare Ltd)",Ibuprofen
21807,"Flamrase 25 EC tablets (Teva UK Ltd)","Diclofenac sodium"
21807,"Flamrase 25 EC tablets (Teva UK Ltd)","Diclofenac sodium"
34290,"Naproxen 250mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
34290,"Naproxen 250mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
34290,"Naproxen 250mg gastro-resistant tablets (Teva UK Ltd)",Naproxen
5085,"Voltarol Rapid 50mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
5085,"Voltarol Rapid 50mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
5085,"Voltarol Rapid 50mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
4045,"Naprosyn EC 375mg tablets (Atnahs Pharma UK Ltd)",Naproxen
4045,"Naprosyn EC 375mg tablets (Atnahs Pharma UK Ltd)",Naproxen
4045,"Naprosyn EC 375mg tablets (Atnahs Pharma UK Ltd)",Naproxen
39873,"Cuprofen Maximum Strength 400mg tablets (SSL International Plc)",Ibuprofen
39873,"Cuprofen Maximum Strength 400mg tablets (SSL International Plc)",Ibuprofen
39873,"Cuprofen Maximum Strength 400mg tablets (SSL International Plc)",Ibuprofen
35890,"Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
35890,"Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
35890,"Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
21840,"Arthrosin 250 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
21840,"Arthrosin 250 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
29330,"Diclofenac sodium 50mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
29330,"Diclofenac sodium 50mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
29330,"Diclofenac sodium 50mg gastro-resistant tablets (Sandoz Ltd)","Diclofenac sodium"
29465,"Piroxicam 20mg capsules (Actavis UK Ltd)",Piroxicam
29465,"Piroxicam 20mg capsules (Actavis UK Ltd)",Piroxicam
29465,"Piroxicam 20mg capsules (Actavis UK Ltd)",Piroxicam
67768,"Naproxen 250mg tablets (Mylan)",Naproxen
11168,"Volsaid Retard 100 tablets (Chiesi Ltd)","Diclofenac sodium"
11168,"Volsaid Retard 100 tablets (Chiesi Ltd)","Diclofenac sodium"
11168,"Volsaid Retard 100 tablets (Chiesi Ltd)","Diclofenac sodium"
37094,"Cuprofen 200mg tablets (SSL International Plc)",Ibuprofen
37094,"Cuprofen 200mg tablets (SSL International Plc)",Ibuprofen
37094,"Cuprofen 200mg tablets (SSL International Plc)",Ibuprofen
41701,"Ibuprofen 600mg tablets (Actavis UK Ltd)",Ibuprofen
41701,"Ibuprofen 600mg tablets (Actavis UK Ltd)",Ibuprofen
41701,"Ibuprofen 600mg tablets (Actavis UK Ltd)",Ibuprofen
50652,"Junior Ibuprofen 100mg/5ml oral suspension (Numark Ltd)",Ibuprofen
1621,"Brufen 200mg tablets (Abbott Laboratories Ltd)",Ibuprofen
1621,"Brufen 200mg tablets (Abbott Laboratories Ltd)",Ibuprofen
1621,"Brufen 200mg tablets (Abbott Laboratories Ltd)",Ibuprofen
46921,"Ibuprofen 400mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
46921,"Ibuprofen 400mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
46921,"Ibuprofen 400mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
32601,"Econac 100mg suppositories (AMCo)","Diclofenac sodium"
60035,"Ibuprofen 200mg tablets film coated (Actavis UK Ltd)",Ibuprofen
41524,"Mefenamic acid 500mg tablets (Teva UK Ltd)","Mefenamic acid"
41524,"Mefenamic acid 500mg tablets (Teva UK Ltd)","Mefenamic acid"
41524,"Mefenamic acid 500mg tablets (Teva UK Ltd)","Mefenamic acid"
17525,"Fenactol Retard 100mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17525,"Fenactol Retard 100mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
17525,"Fenactol Retard 100mg tablets (Discovery Pharmaceuticals)","Diclofenac sodium"
40664,"Oruvail 150 modified-release capsules (Sanofi)",Ketoprofen
40664,"Oruvail 150 modified-release capsules (Sanofi)",Ketoprofen
40664,"Oruvail 150 modified-release capsules (Sanofi)",Ketoprofen
29455,"Flexotard MR 100mg tablets (Pfizer Ltd)","Diclofenac sodium"
29455,"Flexotard MR 100mg tablets (Pfizer Ltd)","Diclofenac sodium"
20384,"Flamatak MR 100mg tablets (Actavis UK Ltd)","Diclofenac sodium"
20384,"Flamatak MR 100mg tablets (Actavis UK Ltd)","Diclofenac sodium"
20384,"Flamatak MR 100mg tablets (Actavis UK Ltd)","Diclofenac sodium"
5401,"Voltarol Rapid 25mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
5401,"Voltarol Rapid 25mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
5401,"Voltarol Rapid 25mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac potassium"
48738,"Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
48738,"Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
48738,"Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
19382,"Slofenac 75mg SR tablets (Sterwin Medicines)","Diclofenac sodium"
19382,"Slofenac 75mg SR tablets (Sterwin Medicines)","Diclofenac sodium"
34289,"Naproxen 250mg gastro-resistant tablets (Mylan)",Naproxen
34289,"Naproxen 250mg gastro-resistant tablets (Mylan)",Naproxen
34289,"Naproxen 250mg gastro-resistant tablets (Mylan)",Naproxen
